Aircraft,Number_Objects,Engines,Origin State,Phase,Description,Object Size,Weather,Warning,Altitude,Total Cost
C,38,2,Tennessee,Landing Roll,HIT 2 OUT OF 4 DEER AFTER THRUST REVERSER DEPLOYMENT. BROKE #2 COMM ANTEANN OFF. VERY MINOR SKIN DAMAGE AT NOSE GEAR.,Large,No Cloud,N,0,8.517193191
B-737,39,2,California,Take-off run,INGESTED OWL ON DEPTR. RETD TO LAND.  ENG VIBRATION WENT TO FULL SCALE 2-3 MINUTES AFTER INGESTION. BORESCOPED. REPLACED 4 PAIRS OF BLADES.,Small,No Cloud,Y,0,11.34076016
C,54,1,California,Approach,PHOTOS. DENTED LE OF LEFT WING.,Large,No Cloud,Y,400,9.126850061
B-727,34,3,New Jersey,Climb,HIT ABOVE CAPT'S WINDSHLD.,Small,No Cloud,N,2200,4.025351691
B-737,47,2,New Mexico,Climb,"RT SIDE RADOME HAD LRG DENT. NO CONTROL PROBLEMS. 15 NM S OF ABQ. REPTD AS VULTURE, ASSUME TURKEY.",Large,No Cloud,N,9500,8.053251154
CL,42,2,Utah,Climb,"ID BY SMITHSONIAN, FAA 2747.  100% DNA MATCH.A/C WAS DEPARTING AND HIT THE BIRD ON CLIMBOUT. RETURNED TO ARPT. A/C WAS TAKEN OUT OF SERVICE. PAX WERE MOVED TO OTHER A/C. DAMAGED NOSE GEAR DOOR.",Medium,No Cloud,Y,8000,10.38804107
C,51,1,Alaska,Approach,"ON FINAL, DURING FLARE, A FLOCK OF PTARMIGANS FLEW UP. 1 LEFT A FOOTBALL SIZED HOLE IN WINDSHLD. LANDING UNEVENTFUL. REPLACED WINDSHLD.",Medium,No Cloud,N,30,8.190908881
CIRRUS SR 20/22,34,1,Florida,Approach,ID BY SMITHSONIAN. OPS WAS NOTIFIED OF BIRDSTRIKE AND RESPONDED TO AEROSIM RAMP. MADE CONTACT WITH PILOT. REMOVED SML FEATHER FORM RT WING. NO DMG. A/C WAS DOING TOUCH  AND GO PRACTICE.,Small,Some Cloud,Y,200,6.214608098
DHC,42,2,Pennsylvania,Approach,"SEAGULL TYPE BIRD HIT JUST UNDER CAPT'S SIDE OF WINDSHLD ON FUSELAGE. NO DMG NOTED AT FIRST INSPN. COSTS WERE REPORTED  AS $300 FOR MX TO INSPECT AND CLEAN A/C.  $5000 WAS A ROUGH ESTIMATE FROM THE DELAY, MISSED CONNCETIONS, AND COST COMPANY INCURS FROM H",Small,No Cloud,N,4000,8.654517382
DHC,45,2,Oregon,Landing Roll,"ID BY SMITHSONIAN, FAA 2487. PILOT SAW 2 BIRDS FLY UP FROM GRASSES ADJACENT TO RWY AND PASS ON EITHER SIDE OF A/C. FOUND REMAINS ON #2 ENG PROP. BLOOD ON LDG GEAR. FOUND REMAINS OF W MEADOWLARK ON RWY. ALSO FOUND BARN SWALLOW REMAINS IN AREA. TWO SETS OF",Small,Some Cloud,N,0,10.89884821
C,43,1,Nebraska,Climb,,Large,Some Cloud,N,500,6.687108608
BE,43,2,Kansas,Climb,A/C WAS ABOVE CLOUD DECK. SLIGHT DENT IN WING AND DENTED EXHAUST STACK IN ENG.,Large,Overcast,N,10000,8.963160243
C,44,2,Pennsylvania,Take-off run,"ID BY SMITHSONIAN, FAA 3160. DNA PILOT STATED HE WAS NOT WARNED OF BIRDS. TAXIED TO RAMP W/O INCIDENT. SEVERAL TISSUE AND FEATHER SAMPLES COLLECTED AND SENT TO SMITHSONIAN FOR ID. PILOT WILL PROVIDE USDA WITH COST OF REPAIRS ONCE COMPLETED. ARFF RESPONDED",Small,Some Cloud,N,0,11.97110952
Hawker,61,2,New York,Approach,PILOT INFORMED WHEN HE WAS ON FINAL APRCH THAT SEA GULLS WERE ON APRCH END OF RWY 1. LT FLAP STRUCK AND DAMAGED. NEEDED TO BE REPLACED.,Medium,Overcast,Y,10,8.543640361
Learjet,49,2,New York,Approach,"DURING LDG FLARE, 1-2 FT ABOVE RWY I FIRST NOTICED THE GEESE (ABOUT 15) AS THEY TOOK FLIGHT FROM THE RWY AND ATTEMPTED TO EXTEND THE FLARE ON THE RWY. THE A/C WAS STRUCK ON THE BELLY & BOTH FLAPS.",Large,Overcast,N,2,12.05019047
B-757,165,2,Oregon,Take-off run,"HIT 5 MALLARDS AT ROTATION. SEVERE VIBRATIONS, LOUD SOUND AND HOT SMELL. CAPT PULLED L ENG THRUST BAC, DECLARED EMER. & SHUT DOWN L ENG. TWR REPTD NUMEROUS DEAD DUCKS ON DEPTR END OF RWY. A/C RETD WITH 1 ENG OUT. AT LEAST 1 BIRD WAS INGESTED AND PARTS OF",Medium,Overcast,Y,0,14.91631777
B-737,44,2,Washington,Approach,"POSSIBLY A HAWK. BLOOD & FEATHERS ON #1 LEADING EDGE FLAP, BLOOD STREAK ON TOPF OF WING/ENG PYLONG. BIRD MUST HAVE DEFLECTED UP & OVER THE WING AFTER HITTING LE FLAP. ONLY COST WAS TO CALL OUT CONTRACT MX TO INSPECT & RELEASE A/C FOR SERVICE. TIME OUT OF",Medium,Some Cloud,N,200,4.736198448
MD,45,2,Louisiana,Approach,"NO DMG.LRG AMT OF BIRDS LOCATED BTWN 7000' AND 6000' REMAINING RWY 10. 3 AREAS STRUCK, F/O WINDSHLD, AND LEFT AND RT LEADING EDGE SLATS. APPROX 10 CARCASSES FOUND ON RWY.",Small,Overcast,Y,5,5.298317367
Hawker,47,2,Kansas,Climb,"LE OF WING DMGD. DENT10"" LONG BY 2-3"" DEEP.",Medium,No Cloud,N,10000,9.963264757
MD,45,2,Tennessee,Approach,NO DMG TO A/C. SWALLOW?,Small,Some Cloud,N,1000,6.907755279
B-737,29,2,Alabama,Approach,,Small,Some Cloud,Y,100,7.80139132
Pilatus,43,1,Washington,Approach,"GOOSE FILLED THE WINDSHLD, IMPACTED A MOMENT LATER ON ROOF. TOOK OUT TCAS ANTENNA, DENTED SKIN, BLOOD ON VERT STABIL STARBOARD ANTENNA. NO TIME OUT OF SERVICE. ESTIMATED REPAIRS $2500 FOR ANTENNA AND SAME FOR REPAIRING MINOR DENT.",Large,No Cloud,N,2000,8.675392806
Learjet,53,2,West Virginia,Climb,NO DMG. NOISE HEARD IN CLIMB PHASE. BLOOD OBSERVED ON COPILOTS WINDSCREEN. PRECAUTIONARY LANDING TO ASSESS ANY DMG. NO DMG. A/C TAXIED TO RAMP W/O INCIDENT,Small,Some Cloud,N,5000,5.062595033
CL,59,2,New Jersey,Climb,ATIS WARNING. ENG VIBRATION.  BIRDS HIT AT ROTATION. A COUPLE BOUNCED OFF THE NOSE AND AT LEAST 1 WAS INGESTED. SEVERAL FAN BLADES AND THE COMPRESSOR WERE DAMAGED.  FLT DIVERTED TO HPN,Small,No Cloud,N,20,9.826660502
PA,63,1,Texas,Climb,DOING TOUCH AND GO'S. LARGE HOLE IN L WING.,Large,No Cloud,N,75,9.838468916
B-737,69,2,Washington,Approach,"ID BY SMITHSONIAN, FAA 4032. BIRD SPLATTERED ON F/O'S SIDE OF WINDSHLD BREAKING WIPER BLADE. UNKN AT THIS TIME IS WINDSHLD WILL HAVE TO BE REPLACED.",Small,Overcast,Y,8000,6.045005314
PA,50,1,Alabama,Landing Roll,SOURCE = AAIPN & NTSB ATL02LA040 & 5200-7,Large,Some Cloud,N,0,8.649098262
Learjet,37,2,Arkansas,Climb,"ID BY SMITHSONIAN, FAA 4085. DNA. SHORTLY AFTER ROTATION ABOUT 6 BIRDS WERE SPOTTED BY PILOT FLYING. 1 WAS INGESTED INTO L ENG. NO ADVERSE INDICATIONS ON ENG. FLT WAS COMPLETED SAFELY. STRIKE WAS REPTD TO TWR VIA PHONE AFTER LDG. CONTROLLER WAS UNINTEREST",Medium,Overcast,N,50,11.72160491
C,45,1,Illinois,Descent,,Large,No Cloud,N,3000,9.040974526
B-737,45,2,Florida,Landing Roll,"ON LDG ROLL, SML FLOCK OF BIRDS FLEW ACROSS RWY 9L, VERY CLOSE TO THE GROUND. WE HIT 1 ON LWR L FUSELAGE JUST BEHIND RADOME. NO DMG. MX INSPCTD AND CLEANED UP REMAINS. I INCLUDED $600 FOR COST BECAUSE WE HAD TO USE CONTRACT MX AND I THINK THAT IS THE GOIN",Small,Some Cloud,Y,0,6.448889394
Global,67,2,Pennsylvania,Climb,DMGD INBOARD OF L WING SLAT. DENT. STRIKE LOCATION WAS UNKNOWN AND EVIDENCE WAS FOUND DURING POST FLT INSPN. PILOT MENTIONED SEEING A BIRD THAT MATCHED A GREAT BLUE HERON. AIRPT OPS RECOVERD A HERON CARCASS FROM 27L.,Large,No Cloud,N,100,10.33530244
B-737,73,2,California,Approach,CRACK IN ENG NACELLE. SWA MX REPAIRED ENG WITH COSTS AND OUT OF SERV TIME TBD. NO SAMPLE COLLECTED FOR ID. SMO 070/10.,Small,Some Cloud,N,2500,8.824677891
Learjet,44,2,Texas,Approach,ENGINE SURGED BRIEFLY AND RETD TO NORMAL. ENG REDUCED TO IDLE THRUST AS PRECAUTION. ENG WAS DESTROYED. DAMAGED THE REVERSERS AND PRESSURIZATION SYSTEM. FEATHERS WERE COMING OUT OF THE VENTS IN THE CABIN.,Medium,No Cloud,N,2400,12.03862985
BE,41,1,California,Landing Roll,L MAIN LDG GEAR DOOR HAD MINOR DMG.,Large,Overcast,N,0,5.940171253
EMB,46,2,Illinois,Approach,"BLADE DMG FROM INGESTION. 6 BLADES REPAIRED, 4 NEW BLADES PURCHASED.",Medium,Overcast,Y,350,10.49822225
DA,42,3,Texas,Take-off run,SMALL DENT ON RT HAND OUTBOARD SLAT.,Small,No Cloud,N,0,11.51292546
BE,46,2,Texas,Descent,"ID BY SMITHSONIAN, FAA 5206, DNA AND MICRO. 7 SAMPLES ALL SAME SPECIES. PILOT REPORTED HE WAS DESCENDING THRU ABOUT 4,000 FEET IN IMC WHEN HE SAW A BLACK FLASH AND HEARD AND FELT A TREMENDOUS THUD. AFTER ASSESSING THE DAMAGE, THE FLT CREW DECIDED TO RETUR",Large,Some Cloud,N,4000,12.21833713
Gulfstream,54,2,Kansas,Descent,RADOME IMPACTED AND LOST PAINT WITH IMPACT DMG. DID NOT PENETRATE RADOME. PAINT SCRAPE RIGHT ABOVE NOSE CONE. LOCATION REPTD AS 30  NE OF KIXD.,Large,No Cloud,N,4000,10.78427545
B-737,45,2,California,Approach,ID BY SMITHSONIAN. HIT BIRD ON 1.5 MILE FINAL. DMG TO ENG COWLING. A/C FERRIED OUT FOR REPAIRS IN PHX.,Medium,Some Cloud,Y,400,9.236690147
Citation,53,2,Texas,Climb,INSPN FOUND NO DMG. COST FOR INSPN $1500.,Medium,Some Cloud,N,25,7.444833274
T,42,,Texas,Approach,Large bird ingested down left engine.  Severe engine damage followed,Medium,Some Cloud,Y,500,11.55171339
C,59,1,North Dakota,Approach,ID BY SMITHSONIAN. DENT IN UPPER L/E AND TOP FRONT OF WING.,Small,No Cloud,N,900,6.907755279
DA,59,2,New York,Climb,"LARGE BIRD, POSSIBLY A GOOSE. SATCOM ANTENNA COVER WAS DAMAGED ON TOP OF THE TAIL. COVER WAS REPLACED.",Large,Some Cloud,N,2500,11.7826243
CL,45,2,Texas,Approach,UNK IF INGESTION. OUT OF SERVICE 1.5 HRS,Small,Overcast,N,25,5.017279837
Airbus,56,2,Missouri,Landing Roll,TWO SPECIES. FIVE MOURNING DOVES AND ONE AMER KESTREL. ATIS WARNING. OPS COLLECTED AND ID REMAINS AT 0540 AFTER ATCT REPTD STRIKE. ARPT REPTD NO DMG TO A/C BUT LATER FILING BY AIRLINE REPORTED REPLACED ENGINE BLADES IN #1 ENG.,Small,Some Cloud,Y,0,10.50391619
CL,34,2,Utah,Climb,"ID BY SMITHSONIAN, FAA 2371. BOTH RT SIDE OF NOSE AND LE OF RT WING DENTED. SOME WENT THRU THE ENG FAN. PRELIM REPT NO ENG DMG. ARPT CASE NO. 08-3286",Large,Some Cloud,Y,5800,10.89884821
C,49,2,Illinois,Approach,DID GO AROUND UFR PATTERN. RETURNED FOR LDG. GO AROUND DUE TO OTHER BIRDS. LEFT FLAP HAD EXTENSIVE DMG.,Large,Some Cloud,N,250,10.72843024
Learjet,52,2,Massachusetts,Take-off run,FAN BLADE DMG VISIBLE AND INTERNAL. ABNORMAL THRUST SITUATION. A/C RETD FOR EMERGENCY LDG. LANDED W/O INCIDENT. COSTS INCLUDE A/C RENTAL FOR ABOUT 5 WEEKS.,Large,No Cloud,Y,0,12.34491678
Homebuilt,59,,Florida,Climb,ATIS WARNING. DAMAGED LEFT BOTTOM FIBERGLASS COWLING WITH MAJOR PAINT DMG.,Large,No Cloud,Y,1500,6.763884909
B-737,43,2,New York,Approach,FLT 3520. SML WHITE WING FOUND IN FRONT BLADES OF #2 ENG. SEVERAL FEATHERS FOUND IN TAIL PIPE. INGESTION.,Small,No Cloud,N,2000,7.890956716
C,53,1,California,Approach,"ID BY SMITHSONIAN, FAA 2979. HIT MEDIUM FLOCK OF BIRDS ON APCH TO 16R NEAR ILS 3 MILE MARKER. PILOT UNCERTAIN OF #  IN FLOCK. WEATHER CONDITIONS INCLUDED HEAVY FOG. A/C OUT OF SERVICE NUMEROUS DAYS. PHOTOS. DMG TO NOSE, PROP, RT STRUT AND L WING.",Medium,Overcast,Y,600,10.59505849
Airbus,55,2,Wyoming,Approach,"DURING WALKAROUND NOTICED A/C RT LANDING LIGHT BROKEN WITH REMAINS OF BIRD. REPTD TO MX OF BIRDSTRIKE. KJAC TOWER REQUESTED CALL, THEY INFORMED THAT THEY FOUND GLASS AND BIRD REMAINS ON RWY. DID NOT NOTICE BIRD ON FINAL TO RWY 19. A/C TIME OUT OF SERV REP",Small,Overcast,N,100,6.214608098
B-737,57,2,California,Approach,"DMG TO AIRGROUND INDICATING SENSOR LOCATED ON L MAIN LDG GEAR.  ESTIMATED COST 1,000- 2,000.",Medium,No Cloud,N,100,7.60339934
C,49,1,California,Approach,FLT INSTRUCTOR SAW GLIMPSE OF BROWN WING FOLLOWED BY A LOUD CRASH FROM THE A/C RT WING. HE TOOK OVER FLT CONTROLS AND LANDED A/C.  NOTICED INCREASE DRAG ON RT WING AND INCREASED SPEED FOR LDG. DMG TO WING WAS SUBSTANTIAL. 2' ACROSS ON LEADING EDGE AND 8-1,Large,No Cloud,N,1000,9.657203309
B-737,42,2,Washington,Climb,"ID BY SMITHSONIAN, FAA 1768. SNARGE SENT TO SMITHSONIAN. COSTS DO NOT INCLUDE 55 MINUTES OF FLT TIME. REPLACED ENG PANEL. (OPS SUPV REPT SAID ""BIRD INGESTED AT ABOUT 400-500 FT AGLE. RETD TO LAND W/O INCIDENT. AFTER INSPN, AIRLINE REPTD NO DMG."")",Medium,Overcast,Y,520,9.936341889
Gulfstream,56,2,Connecticut,Approach,WHITE BIRD. NO DMG TO A/C EXCEPT FOR A SCRATCH IN THE PAINT ON AREA OF FUSELAGE ADJACENT TO PROBE. BIRD STRUCK PITOT PROBE FOR AIR DATA MODULE #3 (LOWER R PROBE),Medium,No Cloud,N,100,4.49980967
B-737,59,2,Pennsylvania,Approach,BIRD WAS ID'D BY WS BIOL. BIRD BOUNCED OFF OF COWLING AND WAS NOT INGESTED.,Large,Overcast,Y,4,11.50142964
ATR,50,2,Florida,Approach,BIG DENT. NO BIRD REMAINS COLLECTED.,Large,No Cloud,N,1800,12.4292162
B-727,50,3,Tennessee,Approach,F/O SAW BIRD GO UNDER NOSE ON SHORT FINAL. ENTIRE CREW HEARD IMPACT. COST FOR 1 HR INSPN.,Small,No Cloud,N,300,3.970291914
PA,58,1,Florida,Climb,"BIRD REPTD AS ""BLACKBIRD/CROW?"". INGESTED IN AIR INTAKE.",Medium,Some Cloud,Y,400,5.560681631
Lockheed,53,4,Alaska,Take-off run,"ATIS WARNING. NOSE LDG GEAR, FWD LDG GEAR DOOR DAMAGED AND REPLACED. BIRD FIRST REPTD AS GOOSE BY AIR TRAFFIC MGR. (DATA ENTRY  NOTE: REMAINS CHECKED AS BEING SENT BUT SMITHSONIAN DID NOT RECEIVE THEM.)",Large,Some Cloud,Y,0,9.773948181
B-737,33,2,Texas,Approach,FINAL APRCH. CONT APRCH TO UNEVENTFUL LANDING. MX CALLED FOR INSPN PRIOR TO NEXT FLT. LOCATION REPTD AS 1.5 NM FROM KCRP.,Small,No Cloud,N,500,5.991464547
C,47,1,Florida,Approach,"DENT ON L/E OF LT WING, JUST OUTBOARD OF LANDING LIGHT. BIRD REPTD AS SIZE OF DOVE.",Small,Some Cloud,Y,300,6.907755279
EMB,61,2,California,Approach,HIT A BIRD ON SHORT FINAL. MINOR DAMAGE TO RADOME AND WINDSHLD. LARGE DENT JUST AFT OF RADOME ON L SIDE OF NOSE. SHEETMETAL REPAIRS WERE MADE BY LAX MECHANICS.,Large,No Cloud,N,550,6.93439721
B-727,61,3,Texas,Approach,NO DMG. MX CLEANED & CLEARED A/C FOR FLT. COST IF FOR LABOR.,Medium,No Cloud,N,1000,3.970291914
B-747,76,4,California,Take-off run,CREW SAW BIRD. THOUGHT IT WAS A LRG HAWK WITH A 4+ FT WINGSPAN SITTING ON RWY. AS WE APCHD IT TRIED TO FLY. AFTER SEVERAL MANEUVERS THE BIRD PASSED BY THE COCKPIT ON L SIDE WITH VERY LOUD BANG AND ENG SURGE.  I CALLED ABORT AND CAPT EXECUTED THE ABORT AT,Large,Overcast,N,0,13.67891734
RKWL,47,2,Florida,Approach,DMG TO FRONT NOSE WHEEL GEAR DOOR.,Large,Overcast,N,4,6.736966958
DC,42,4,Kentucky,Descent,"LARGE BIRD, POSSIBLY GOOSE. DENTED SCOOP IN THE NOSE. PHOTO.",Large,No Cloud,N,9700,8.006367568
CIRRUS SR 20/22,46,1,California,Descent,ID BY SMITHSONIAN. BIRD HIT LEFT WING 4' FROM WINGROOT. DMG TO OUTER LAYER OF COMPOSIT COATING.  COSTS INCLUDE DAMAGE AND LOST REVENUE DUE TO  DOWNTIME.,Medium,No Cloud,Y,2200,10.8045022
Global,98,2,Florida,Climb,"WARNING MIGHT HAVE BEEN ON ATIS. LARGE DENT ON ENG INLET. 6 DAMAGED FAN BLADES WERE REPLACED. FAN SHROUD, COWL  AND SPINNER REPLACED.. ENG CONTINUED TO RUN WITH NO APPARENT PROBLEMS. COST TO LEASE ANOTHER A/C WAS $230,000.",Large,Some Cloud,N,500,14.31985704
CL,50,2,Utah,Approach,NO DMG TO A/C. EST COST OF REPAIR AND EST COST OTHER COST BOTH REPTD AS GREATER THAN $200.,Small,Some Cloud,Y,200,6.045005314
B-737,57,2,California,Approach,"ID BY SMITHSONIAN, FAA 3965. WHOLE FEATHER AND DNA. ATCT NOTIFIED ARPT OPS OF STRIKE. BOTH ENGINES INGESTED BIRD(S). DMG TO LEFT MAIN INBD FLAP. A/C FERRIED AT 1030 ON 12/20. CANCELLED FLT WAS $50,000, REPAIRS WERE $124,740.",Medium,Overcast,Y,2000,12.1237774
BE,56,2,California,Take-off run,"JUST AFTER T/O DECISION SPEED REACHED (95-97 KNOTS), MULTIPLE BIRDS ENTERED T/O PATH. SEVEN TO NINE BIRDS IMPACTED CAUSING TWO SMALL DENTS IN LE OF WINGS. ONE (SMALLER) ON LT WING, OTHER LARGER ON RT WING. BIRDS WERE IN UNIMPROVED AREAS BTWN RWY AND TWY.",Small,Some Cloud,N,0,8.543640361
PA,42,1,New Hampshire,Landing Roll,"3 DEER SEEN, 1 STRUCK AND KILLED. SUBSTANTIAL DMG.",Large,No Cloud,Y,0,10.1793374
BE,49,2,West Virginia,Climb,HIT SEVERAL SML BLACK BIRDS ON DEPTR. ARFF RESPONDED. DMG TO L WING. DENTS. BLOOD ON PROP.,Small,Some Cloud,N,100,9.011767475
BE,36,2,Kentucky,Landing Roll,BIRD HIT L WING THEN WAS INGESTED THRU ENG. BORESCOPE INSPN. COMPRESSOR WASH. ID BY SMITHSONIAN FAA 1202,Small,No Cloud,N,0,9.011767475
C,31,1,South Carolina,Approach,"IN TRAFFIC PATTERN ON DOWNWIND LEG, 2 LARGE BLACK BIRDS APPEARED DIRECTLY IN FRONT OF PLANE. 1 FLEW OVER THE A/C, THE OTHER BARELY CLEARED THE PROP AND HIT THE VERT STABIL. NO REMAINS AVAILABLE FOR SUBMITTAL.",Large,No Cloud,N,1500,9.066239028
B-737,45,2,DC,Approach,WE WERE FLYING THE ELDEE FOUR RNAV ARRIVAL INTO DCA. BTWN ELDEE AND DMALL WE WERE GIVEN A DESCENT TO 6000 FT MSL. AIRSPEED WAS 250 KIAS. DURING DESCENT THE F/O SAW A VERY LGR BIRD FLASH PAST. IT WAS BRIEFLY ILLUMNATED IN THE LDG LIGHTS AND APPEARED TO BE,Large,No Cloud,N,7000,12.54665784
Airbus,38,2,Vermont,Approach,"HIT CAPT'S WINDSHLD. THEY WERE OVER WINOOSKI, VT. NO REMAINS FOUND. NO DMG.",Small,Some Cloud,Y,800,8.701679071
CL,83,2,Utah,Climb,"PILOT SAW 2 BIRDS ON T/O CLIMB. FELT BIRDS STRIKE ENGINES AND FELT ENGINES BEGIN TO VIBRATE ALONG WITH INDICATIONS ON BOTH ENGS. CIRCLED THE PATTERN AND LANDED RWY 34R W/O INCIDENT. A/C WAS SWAPPED OUT AND TOWED TO MX HANGER. ID BY SMITHSONIAN, FAA 1541 A",Medium,No Cloud,Y,500,13.73883792
B-737,45,2,Florida,Approach,"HEARD IMPACT IN FLT. HIT NEAR PITOT TUBE. FOUND IMPACT MARK ON POSTFLT. BIRD BLOOD, ETC. NO DENT OR DMG.  REPT FROM AIRSIDE AGENT INDICATED 100' ON APCH TO 9L AND THAT NO MARKS WERE FOUND.",Small,No Cloud,Y,2000,5.703782475
MD,44,2,California,Approach,,Small,No Cloud,N,300,6.907755279
BA,69,2,Virginia,Climb,NO REMAINS.,Medium,No Cloud,N,50,11.91402774
BE,60,1,Illinois,Approach,DMG TO LEADING EDGE OF L WING OUTBOARD. A/C OUT OF SERVICE ABOUT 10 WEEKS.,Medium,No Cloud,N,1300,9.432683603
C,54,1,Maine,Approach,"LARGE WHITE BIRD DID SIGNIF DMG TO LE OF RT WING. PILOT WAS ON DOWNWIND, TURNING BASE TO LAND. AT ABOUT 800 FT AGL SAW WHITE FLASH FROM LFT TO RT IN WINDSCREEN. BIRD HIT LE OF RT WING. (PHOTO ON ARPT WEBSITE)",Large,No Cloud,N,800,8.648922962
Bell,81,1,Utah,,ID BY SMITHSSONIAN. EITHER WESTERN OR CLARK'S GREBE.  DNA ANALYSIS UNABLE TO DISTINGUISH BETWEEN THEM. DOWNWIND FOR RWY 35 BIRD HIT LEFT SIDE OF NOSE CONE. UPON REGAINING CONTROL OF THE A/C. I TURNED BACK TO ORIGINAL HEADING AND SLOWED AIR SPEED TO 60 KTS,,Overcast,,,13.11433121
BA,27,2,Connecticut,Approach,LESS THAN ONE MILE FROM APRCH END. HEIGHT REPTD AS 300 TO 800 FT. TOOK AVG.,Small,No Cloud,N,550,5.755742214
Citation,64,2,DC,Climb,EXTENT OF DMG WOULD INDICATE A LRG BIRD BUT WE DID NOT SEE IT.   NO CONTROL PROBLEMS EXPERIENCED. A/C TIME OUT OF SVC WAS 5 WEEKS  DUE TO PART UNAVAILABILITY.,Medium,No Cloud,N,1500,11.92509472
B-737,61,2,California,Climb,"FLT 128 ENCOUNTERED 15-20 BIRDS.  AT 1000 FT, #1 START VALVE  ILLUMINATED & FLT ATTENDANTS REPTD A VIBRATION IN CABIN. MAINT  FOUND NO DMG. COST WAS FOR HOTELS & LOST REVENUE. #1 ENG  VIBRATING. FLT WAS DIVERTED TO SFO.",Large,Some Cloud,N,100,10.19342957
CL,39,2,New York,Approach,LRG SWALLOW OR SML PIGEON. WINDSHLD CLEANED & INSPCTD. TIME OUT OF SVC 1/2 HR.,Medium,No Cloud,N,50,5.298317367
PA,38,1,New Jersey,Approach,"ID BY SMITHSONIAN, FAA 3589. FLOCK OF BIRDS WAS EITHER SITTING OR WALKING ACROSS RWY AND TOOK FLT WHEN THE A/C ENTERED THE LANDING FLARE. ABOUT 10-20 BIRDS WERE STRUCK. COWLING WAS REPLACED AS WELL AS LANDING GEAR SYSTEM.",Large,No Cloud,N,3,8.752265314
EMB,44,2,Missouri,Approach,BIRD ID BY OPS. AIRLIINE QUALAITY ASSURANCE DEPT SAID NOT DMG. MX COST FROM $50-100. WINDSHLD & NOSE BOTH REPTD AS BEING DAMAGED BUT CALL TO WS AIRPORT BIOL WHO CHECKED WITH AIRLINE FOUND NO DMG.,Small,Some Cloud,Y,20,4.077537444
C,49,1,Kansas,Climb,"DEPARTING RWY 36, KRPB AT DAWN, AT START OF ROTATION, FIRST, A DOE DEER RAN OUT AND ALONG RT SIDE OF A/C. SECOND, BIRDSTRIKE AT ABOUT 300 FT AGL. A GROUP OF THREE BLACK BIRDS. GROUP OF BLACK BIRDS DOVE AND I HAD JUST ENOUGH AIRSPEED TO PULL BACK YOKE TO A",Medium,No Cloud,Y,300,3.912023005
C,42,2,Kansas,Descent,"ID BY SMITHSONIAN, FAA 1858. IT APPEARS 1 BIRD HIT AT THE BASE OF THE WINDSHLD NEAR THE CENTER DIVIDER AND ON THE ALCOHOL SPRAY BAR, AS THAT WAS BENT. FEATHERS AND REMAINS WERE JAMMED AROUND THE SPRAY BAR AND BLOOD COATED THE LWR WINDSHLD. ADDITIONAL REMA",Small,No Cloud,N,5200,5.80814249
B-737,81,2,Illinois,Climb,"STRIKE WAS 4 MILES E ORD. SEVERAL STRIKES. REMOVED SOME FEATHERS & GAVE TO SMC. (data entry note: feathers never turned in for ID) BORESCOPED #2 ENG. OTBD CORE COWL HAS BENT TIP AT UPPER FWD EDGE. DMG TO RADOME, L WING LE & VERTICAL FIN. REPLCD LWR RT PIT",Large,No Cloud,Y,1500,14.06897767
PA,50,2,Minnesota,Landing Roll,"A/C LANDED AFTER DARK AND REPTD A DEER STRIKE. PHOTOS OF DMG SENT. DAMAGED RT LANDING GEAR DOORS, RT FLAP.",Large,Some Cloud,N,0,10.97792668
RKWL,35,2,Oregon,Taxi,"A/C WAS HOLDING SHORT OF RWY WHILE PILOT PERFORMED FINAL CHECKS BEFORE T/O. PHEASANT FLEW UP INTO THE RT ENG PROPELLER AND WAS KILLED. REMAINS ON PROP, ENG NACELLE, FUSELAGE, AND UPPER WING SURFACE. ENG RPM FLUCTUATED BUT CONTD RUNNING NORMALLY AFTERWARD.",Medium,Some Cloud,N,0,7.824046011
CIRRUS SR 20/22,54,1,Texas,Climb,AN EMERGENCY WAS DECLARED AFTER WING WAS DAMAGED FROM A VULTURE STRIKE. STRIKE OCCURRED OVER A CONSTRUCTION MATERIAL LANDFILL. IMPACT SHIVERED THE PLANE AND TWISTED IT TO THE LEFT. WING WAS SMASHED WITH PIECES FLAPPING UP AND DOWN. OUTER 2' OF WING  WAS A,Large,Some Cloud,N,1500,8.688116703
B-737,57,2,Maryland,Climb,NO DMG. RETD TO BWI AS A PRECAUTION BECAUSE SOURCE OF SMELL IN COCKPIT AND CABIN COULD NOT BE POSITIVELY IDENTIFIED.,Medium,Overcast,N,1900,7.03966035
B-737,40,2,Wisconsin,Approach,NO DMG.,Small,No Cloud,N,500,4.762173935
SA,41,2,South Dakota,Approach,DMG TO OUTBOARD L/E OF LT WING.,Medium,No Cloud,Y,2500,5.036952602
BE,54,2,Florida,Climb,ATIS ONLY.  BIRD HIT #1 ENG COOLER INLET. MOST OF BIRD REMAINED AFTER LDG. DMG TO ENG COWLING.,Medium,Some Cloud,Y,1000,8.804925263
CL,34,2,Missouri,Take-off run,"ID BY SMITHSONIAN, FAA 2562. TIME OUT OF SERVICE 0.2 HRS. INSPN COST $100.",Small,Some Cloud,Y,0,4.682131227
BE,38,2,New York,Climb,NO DMG.,Small,No Cloud,N,50,7.92732436
